client_id,year,month,week_of_month,files_expected,files_received_on_time,files_received_late,records_total,records_invalid,schema_error_count,avg_processing_latency_min
C001,2025,4,1,5,5,0,12000,60,1,8.5
C001,2025,4,2,5,4,1,11500,120,2,9.2
C001,2025,4,3,5,5,0,11800,80,1,8.7
C001,2025,4,4,5,3,2,11000,220,4,11.5
C001,2025,5,1,5,5,0,12500,70,1,8.3
C001,2025,5,2,5,4,1,12000,150,3,9.8
C001,2025,5,3,5,5,0,12300,90,1,8.9
C001,2025,5,4,5,3,2,11800,260,5,12.2
C001,2025,6,1,5,5,0,13000,50,1,8.1
C001,2025,6,2,5,4,1,12800,140,2,9.5
C001,2025,6,3,5,5,0,12600,100,1,8.8
C001,2025,6,4,5,2,3,12000,320,6,13
C002,2025,4,1,4,4,0,9000,20,0,7.2
C002,2025,4,2,4,4,0,8800,25,0,7
C002,2025,4,3,4,4,0,9100,30,1,7.5
C002,2025,4,4,4,4,0,8900,40,1,7.8
C002,2025,5,1,4,4,0,9200,25,0,7.1
C002,2025,5,2,4,4,0,9000,35,1,7.6
C002,2025,5,3,4,4,0,9300,30,1,7.4
C002,2025,5,4,4,4,0,9100,45,1,7.9
C002,2025,6,1,4,4,0,9500,20,0,7
C002,2025,6,2,4,4,0,9400,30,1,7.3
C002,2025,6,3,4,4,0,9600,25,0,7.1
C002,2025,6,4,4,4,0,9300,40,1,7.8
C003,2025,4,1,6,5,1,15000,200,3,10.5
C003,2025,4,2,6,4,2,14500,350,5,12.8
C003,2025,4,3,6,5,1,14800,240,4,11.2
C003,2025,4,4,6,3,3,14000,520,7,14.5
C003,2025,5,1,6,5,1,15500,220,3,10.8
C003,2025,5,2,6,4,2,15000,380,5,13.2
C003,2025,5,3,6,5,1,15200,260,4,11.5
C003,2025,5,4,6,3,3,14800,560,8,15
C003,2025,6,1,6,5,1,15800,210,3,10.6
C003,2025,6,2,6,4,2,15400,400,6,13.5
C003,2025,6,3,6,5,1,15600,280,4,11.8
C003,2025,6,4,6,2,4,15000,650,9,16.2
C004,2025,4,1,3,3,0,6000,15,0,6.5
C004,2025,4,2,3,3,0,6200,20,0,6.7
C004,2025,4,3,3,3,0,6100,18,0,6.6
C004,2025,4,4,3,3,0,5900,25,1,6.9
C004,2025,5,1,3,3,0,6300,15,0,6.4
C004,2025,5,2,3,3,0,6400,20,0,6.6
C004,2025,5,3,3,3,0,6500,18,0,6.5
C004,2025,5,4,3,3,0,6200,25,1,6.8
C004,2025,6,1,3,3,0,6600,15,0,6.4
C004,2025,6,2,3,3,0,6700,20,0,6.6
C004,2025,6,3,3,3,0,6800,18,0,6.5
C004,2025,6,4,3,3,0,6500,25,1,6.9
