date,total_files_processed,avg_ingestion_latency_min,queue_depth
01-06-2025,1850,9.2,120
02-06-2025,1870,9.4,130
03-06-2025,1885,9.6,140
04-06-2025,1900,9.8,150
05-06-2025,1920,10.1,165
06-06-2025,1940,10.3,180
07-06-2025,1960,10.6,195
08-06-2025,1980,10.9,210
09-06-2025,2000,11.2,230
10-06-2025,2025,11.6,255
11-06-2025,2050,12,285
12-06-2025,2075,12.5,320
13-06-2025,2100,13,360
14-06-2025,2125,13.6,405
15-06-2025,2150,14.2,455
16-06-2025,2175,14.9,510
17-06-2025,2200,15.6,570
18-06-2025,2225,16.4,635
19-06-2025,2250,17.3,705
20-06-2025,2275,18.2,780
21-06-2025,2300,19.2,860
22-06-2025,2325,20.1,945
23-06-2025,2350,21.1,1035
24-06-2025,2375,22.2,1130
